     1.166     0.133     0.119   9.    31.338    12.798     3.140
     1.166     0.133     0.120  27.    26.611    10.059     9.231
     1.166     0.133     0.120  45.    30.765    10.881     7.020
     1.166     0.133     0.120  81.    27.788    11.351     3.681
     1.166     0.133     0.120  99.    24.144    10.620     8.329
     1.166     0.133     0.120 117.    16.711     9.654     1.547
     1.166     0.133     0.120 225.    28.775    12.872    10.762
     1.165     0.133     0.120 243.    20.531    11.854     4.194
     1.166     0.133     0.119 261.    26.627    10.873     3.180
     1.166     0.133     0.120 279.    12.368     7.141     9.495
     1.166     0.133     0.120 297.    35.874    14.645     8.666
     1.166     0.133     0.120 333.    28.505    10.775     8.002
     1.166     0.133     0.119 351.    31.274    11.061    13.563
     1.166     0.133     0.175   9.    36.494    14.903    12.915
     1.166     0.133     0.174  27.    24.446    10.932     6.848
     1.166     0.133     0.175  63.    17.714    10.232     2.605
     1.166     0.133     0.175  81.    24.160     9.864     8.274
     1.166     0.133     0.175 117.    37.656    15.379     5.438
     1.165     0.133     0.174 135.    17.316     9.728     7.250
     1.166     0.133     0.175 153.    25.035    11.198     8.198
     1.166     0.133     0.175 207.    19.783     9.896     4.240
     1.166     0.133     0.175 225.    25.067    12.540     2.524
     1.166     0.133     0.174 261.    26.913    10.990     4.932
     1.165     0.133     0.175 279.    24.605    10.046     7.070
     1.166     0.133     0.174 297.    16.632     9.610     6.274
     1.166     0.133     0.174 315.    37.767    12.594     4.569
     1.165     0.133     0.175 333.    14.198     8.198     6.573
     1.166     0.133     0.175 351.    28.807    12.890     7.598
     1.166     0.133     0.250   9.    26.452     9.355     5.668
     1.166     0.133     0.249  27.    11.695     5.230     2.777
     1.166     0.133     0.250  63.    11.956     5.978     3.271
     1.166     0.133     0.250  81.    18.398     6.135     5.873
     1.166     0.133     0.250  99.    36.287     8.804     4.074
     1.166     0.133     0.249 117.    21.247     8.034     3.166
     1.166     0.133     0.250 135.    30.255     8.738     3.317
     1.166     0.133     0.249 153.    27.295     8.634     2.311
     1.166     0.133     0.249 189.    17.189     7.692     2.258
     1.166     0.133     0.250 207.    12.327     5.512     2.094
     1.166     0.133     0.250 225.    21.788     8.236     7.178
     1.166     0.133     0.250 243.    24.398     8.058     5.276
     1.166     0.133     0.249 261.    25.417     7.337     1.986
     1.166     0.133     0.249 279.    17.666     6.250     5.117
     1.166     0.133     0.250 297.    29.714     8.960     3.458
     1.166     0.133     0.250 315.    20.149     6.716     1.829
     1.166     0.133     0.250 333.    10.924     4.884     1.492
     1.166     0.133     0.249 351.    10.291     5.941     4.878
     1.166     0.133     0.350   9.    18.032     6.817     3.587
     1.166     0.133     0.350  27.    11.392     5.095     1.437
     1.166     0.133     0.350  45.    13.264     5.932     5.647
     1.166     0.133     0.350  63.    34.759     9.643     3.506
     1.166     0.133     0.350  81.    17.268     5.757     1.100
     1.166     0.133     0.349  99.    18.255     6.459     1.810
     1.166     0.133     0.349 117.    26.356     8.785     3.433
